Variable,Importancia
num__Weekly_GenAI_Hours,0.2646654975469482
num__ratio_ia_estudio,0.1731769703016786
num__Perceived_AI_Dependency,0.07181476417643749
num__Pre_Semester_GPA,0.0565108245296364
num__uso_intensivo_ia,0.056077071950371454
num__dependencia_ia_alta,0.051778087456948035
num__Traditional_Study_Hours,0.05118423399339211
num__Post_Semester_GPA,0.04984782437480519
num__Skill_Retention_Score,0.04255723921174767
cat__Year_of_Study_Graduate,0.030017727083953002
num__Anxiety_Level_During_Exams,0.027357497731124884
cat__Year_of_Study_Freshman,0.02077075323547454
num__Tool_Diversity,0.014541498373161096
cat__Institutional_Policy_Strict_Ban,0.009326243536568744
cat__Paid_Subscription_False,0.0071895099187631005
cat__Institutional_Policy_Allowed_With_Citation,0.006715733834994469
cat__Paid_Subscription_True,0.006268770923302187
cat__Year_of_Study_Sophomore,0.006091580747033358
cat__Institutional_Policy_Actively_Encouraged,0.006061148098354454
cat__Prompt_Engineering_Skill_Beginner,0.006051501600673601
cat__Prompt_Engineering_Skill_Intermediate,0.005490650866921502
cat__Prompt_Engineering_Skill_Advanced,0.0048905787398993645
cat__Primary_Use_Case_Debugging/Troubleshooting,0.004567317722643851
cat__Major_Category_Business,0.004348843410898774
cat__Primary_Use_Case_Copywriting/Drafting,0.004344548309408511
cat__Major_Category_Humanities,0.0041762065866887445
cat__Year_of_Study_Junior,0.004092874028798998
cat__Primary_Use_Case_Ideation,0.003745605140468061
cat__Primary_Use_Case_Summarizing_Reading,0.0036860872847750315
cat__Primary_Use_Case_Direct_Answer_Generation,0.0026528092841287573
